Date,Close
12/31/1999 16:00:00,91.38
1/7/2000 16:00:00,87.99
1/14/2000 16:00:00,92.75
1/21/2000 16:00:00,96.25
1/28/2000 16:00:00,85.94
2/4/2000 16:00:00,96.91
2/11/2000 16:00:00,98.95
2/18/2000 16:00:00,98.87
2/25/2000 16:00:00,104.46
3/3/2000 16:00:00,111.13
3/10/2000 16:00:00,114.63
3/17/2000 16:00:00,110.94
3/24/2000 16:00:00,118
3/31/2000 16:00:00,109.63
4/7/2000 16:00:00,106.94
4/14/2000 16:00:00,79.5
4/20/2000 16:00:00,87.63
4/28/2000 16:00:00,93.88
5/5/2000 16:00:00,91.5
5/12/2000 16:00:00,84.88
5/19/2000 16:00:00,81.38
5/26/2000 16:00:00,77.88
6/2/2000 16:00:00,93.63
6/9/2000 16:00:00,93.5
6/16/2000 16:00:00,94.17
6/23/2000 16:00:00,91.64
6/30/2000 16:00:00,93.19
7/7/2000 16:00:00,95.41
7/14/2000 16:00:00,98.94
7/21/2000 16:00:00,97.31
7/28/2000 16:00:00,86.81
8/4/2000 16:00:00,90
8/11/2000 16:00:00,90.88
8/18/2000 16:00:00,95.14
8/25/2000 16:00:00,98.38
9/1/2000 16:00:00,102.5
9/8/2000 16:00:00,94.88
9/15/2000 16:00:00,91.38
9/22/2000 16:00:00,92.94
9/29/2000 16:00:00,88.69
10/6/2000 16:00:00,83
10/13/2000 16:00:00,80.75
10/20/2000 16:00:00,86.31
10/27/2000 16:00:00,79.72
11/3/2000 16:00:00,83.06
11/10/2000 16:00:00,71.75
11/17/2000 16:00:00,72.83
11/24/2000 16:00:00,70.44
12/1/2000 16:00:00,64
12/8/2000 16:00:00,68
12/15/2000 16:00:00,63.88
12/22/2000 16:00:00,60.5
12/29/2000 16:00:00,58.38
1/5/2001 16:00:00,56.63
1/12/2001 16:00:00,62.73
1/19/2001 16:00:00,66.38
1/26/2001 16:00:00,65.55
2/2/2001 16:00:00,61.55
2/9/2001 16:00:00,56.4
2/16/2001 16:00:00,55.13
2/23/2001 16:00:00,51.18
3/2/2001 16:00:00,46.65
3/9/2001 16:00:00,45.1
3/16/2001 16:00:00,41.1
3/23/2001 16:00:00,42.8
3/30/2001 16:00:00,39.15
4/6/2001 16:00:00,36.3
4/12/2001 16:00:00,42.8
4/20/2001 16:00:00,48.4
4/27/2001 16:00:00,45.15
5/4/2001 16:00:00,48.2
5/11/2001 16:00:00,45.55
5/18/2001 16:00:00,48.04
5/25/2001 16:00:00,48.99
6/1/2001 16:00:00,46.05
6/8/2001 16:00:00,47.35
6/15/2001 16:00:00,42.6
6/22/2001 16:00:00,43.25
6/29/2001 16:00:00,45.7
7/6/2001 16:00:00,41.65
7/13/2001 16:00:00,43.7
7/20/2001 16:00:00,41.65
7/27/2001 16:00:00,41.95
8/3/2001 16:00:00,43.18
8/10/2001 16:00:00,40.28
8/17/2001 16:00:00,37.76
8/24/2001 16:00:00,39.3
8/31/2001 16:00:00,36.63
9/7/2001 16:00:00,33.7
9/10/2001 16:00:00,34.1
9/21/2001 16:00:00,28.19
9/28/2001 16:00:00,28.98
10/5/2001 16:00:00,31.77
10/12/2001 16:00:00,34.55
10/19/2001 16:00:00,33.55
10/26/2001 16:00:00,36.01
11/2/2001 16:00:00,35.6
11/9/2001 16:00:00,37.73
11/16/2001 16:00:00,39.37
11/23/2001 16:00:00,39.28
11/30/2001 16:00:00,39.65
12/7/2001 16:00:00,41.73
12/14/2001 16:00:00,40.11
12/21/2001 16:00:00,39.48
12/28/2001 16:00:00,40.33
1/4/2002 16:00:00,41.67
1/11/2002 16:00:00,40.85
1/18/2002 16:00:00,38.57
1/25/2002 16:00:00,38.83
2/1/2002 16:00:00,38.14
2/8/2002 16:00:00,36.17
2/15/2002 16:00:00,35.78
2/22/2002 16:00:00,33.65
3/1/2002 16:00:00,35.74
3/8/2002 16:00:00,38.67
3/15/2002 16:00:00,37.23
3/22/2002 16:00:00,36.68
3/28/2002 16:00:00,36.06
4/5/2002 16:00:00,34.37
4/12/2002 16:00:00,33.52
4/19/2002 16:00:00,34.46
4/26/2002 16:00:00,31.01
5/3/2002 16:00:00,29.74
5/10/2002 16:00:00,29.56
5/17/2002 16:00:00,32.93
5/24/2002 16:00:00,31.24
5/31/2002 16:00:00,30.04
6/7/2002 16:00:00,28.3
6/14/2002 16:00:00,27.62
6/21/2002 16:00:00,25.82
6/28/2002 16:00:00,26.07
7/5/2002 16:00:00,25.5
7/12/2002 16:00:00,24.8
7/19/2002 16:00:00,23.99
7/26/2002 16:00:00,22.67
8/2/2002 16:00:00,22.25
8/9/2002 16:00:00,23.33
8/16/2002 16:00:00,24.7
8/23/2002 16:00:00,25.15
8/30/2002 16:00:00,23.49
9/6/2002 16:00:00,22.85
9/13/2002 16:00:00,22.99
9/20/2002 16:00:00,21.67
9/27/2002 16:00:00,21.31
10/4/2002 16:00:00,20.35
10/11/2002 16:00:00,22.22
10/18/2002 16:00:00,23.81
10/25/2002 16:00:00,24.62
11/1/2002 16:00:00,25.25
11/8/2002 16:00:00,25.07
11/15/2002 16:00:00,26.44
11/22/2002 16:00:00,27.72
11/29/2002 16:00:00,27.72
12/6/2002 16:00:00,26.2
12/13/2002 16:00:00,25.04
